index,datetime,z,z_ref,z_hat,v_hat,alpha_1,alpha_0,tau,timestamp
618,2024-04-15 15:05:46.262285,1.555,1.605,1.5553239263112988,0.0195436817806168,1.5219438461669452,-0.6651289998680058,0.4428571428571428,13.96478796005249
619,2024-04-15 15:05:46.283688,1.56,1.605,1.5596746545736546,0.0338854950284866,1.5291302807980518,-0.668031636949664,0.4414285714285714,13.986191034317017
620,2024-04-15 15:05:46.305725,1.56,1.605,1.5600300097149655,0.0336792338913732,1.528468842306569,-0.6677644824516523,0.4414285714285714,14.008228063583374
621,2024-04-15 15:05:46.327392,1.565,1.605,1.5647429492741487,0.0452446785200126,1.53412220903708,-0.6700478400818688,0.44,14.029895067214966
622,2024-04-15 15:05:46.349212,1.565,1.605,1.5651036563370548,0.0420376899628974,1.531847390209053,-0.6691290689672341,0.44,14.051714897155762
623,2024-04-15 15:05:46.370635,1.565,1.605,1.5651063318252831,0.0387121041298895,1.5295188767602577,-0.6681886248473847,0.4407142857142857,14.073137998580933
624,2024-04-15 15:05:46.392191,1.57,1.605,1.5697785200286622,0.0488216794091504,1.5343585534622668,-0.6701432537135474,0.4392857142857143,14.094693899154663
625,2024-04-15 15:05:46.414179,1.565,1.605,1.565435568239556,0.0320042366707389,1.524861117254651,-0.6663075236085114,0.4407142857142857,14.116682052612305
626,2024-04-15 15:05:46.435759,1.57,1.605,1.569757932624809,0.0429389026210166,1.5301280357627394,-0.6684346433591156,0.4392857142857143,14.138262033462524
627,2024-04-15 15:05:46.458296,1.57,1.605,1.5700907630659455,0.0402455845524428,1.5281574219883285,-0.6676387946299001,0.44,14.160799026489258
628,2024-04-15 15:05:46.479759,1.575,1.605,1.5747871233877282,0.0501050872898203,1.5327694738101127,-0.6695013828401054,0.4385714285714285,14.182261943817139
629,2024-04-15 15:05:46.501538,1.575,1.605,1.5751364163576298,0.0456582064533854,1.5297518735697513,-0.6682805426772239,0.4385714285714285,14.204041004180908
630,2024-04-15 15:05:46.523178,1.58,1.605,1.5798231022711755,0.0539426707788415,1.5337286440791378,-0.6698916751908871,0.4371428571428571,14.225681066513062
631,2024-04-15 15:05:46.544903,1.575,1.605,1.5754698868164958,0.0357115850634605,1.5232822005483475,-0.6656624071696408,0.4392857142857143,14.247406005859375
